BARCODE,DESCRIPTION,CODE
8000380214976,LOACKER CHOCOLATERIE DARK 20X59G,LK4327
8000380215959,LOACKER BISCUITS COCOA 80G,LK4310
8000380215843,LOACKER BISCUIT HAZELNUT 80G,LK4311
8000380215867,LOACKER BISCUIT PEANUT 80G,LK4312
8000380211302,LOACKER CHOCO MINI ALPN MLK 15X102G,LK4002
8000380186129,LOACKER CHOCO MINI NAPO 15X111.6G,LK4001
8000380215133,LOACKER CHOCOLATERIE DARK BAG 114G,LK4329
8000380215126,LOACKER CHOCOLATERIE MILK BAG 114G,LK4328
8000380214914,LOACKER CHOCOLATERIE DARK 118G,LK4323
8000380214907,LOACKER CHOCOLATERIE MILK 118G,LK4322
8000380213245,LOACKER DARK CHOCOLATERIE 13X145G,LK4321
8000380212996,LOACKER ROSE DOLOMITES MILK 9X300G,LK3300
8000380208371,LOACKER NAPOLI CRߍE SPREAD 6X290G,LK4300
8000380197415,LOACKER CLSC MIX BIG PACK 8X270G,LK3486
8000380213498,LOACKER ICE CREAM NAPOLITANER 66GX4,LI3297
8000380213511,LOACKER ICE CREAM ALPINE MILK 66GX4,LI3298
8000380213504,LOACKER ICE CREAM TORTINA 66GX4,LI3299
0791689057460,LOACKER PATISSERIE ASSRT. 21G 5+1,LK7005
0791689058733,LOACKER NAPOLITANER 45G 4+1 FREE,LK6504
0791689058719,LOACKER CREMKAKAO 45G 4+1 FREE,LK6502
0791689058702,LOACKER VANILLE M/PACK 45G 4+1 FRE,LK6501
0791689058726,LOACKER MILK MULTI PACK 45G 4+1 FRE,LK6503
8000380212361,LOACKER MULTI PACK 3X45G,LK6006
0791689056395,LOACKER CLASSIC 90G 2+1 FREE,LK3727
8000380145096,LOACKER NAPOLI 45GX8+2,LK3596
8000380155828,LOACKER NAPOLITANER 18 X (5X45G) 4+1,LK3668
8000380145089,LOACKER KAKAO 45GX8+2,LK3594
8000380155835,LOACKER CREMKAKAO 18 X (5X45G) 4+1 PRO,LK3666
8000380155811,LOACKER VANILLE 18 X (5X45G) 4+1 PRO,LK3665
8000380182589,LOACKER MILK 18 X (5X45G) 4+1 PRO,LK3667
0791689056494,LOACKER MINIS 2X150G@SPECIAL OFFER,LK3717
0791689056531,LOACKER CLASSIC MINIS 2X200G@SPLOFR,LK6310
8000380184668,LOACKER CLASSIC MINIS 200GX6 MIX,LK4030
0791689056289,LOACKER 2X175G @SPECIAL OFFER,LK3722
0791689056258,LOACKER QUAD 2X125G SPECIAL OFFER,LK3677
0791689056296,LOACKER QUADRATINI 2X250G@SPECIAL OFFR,LK3719
0791689056340,LOACKER GAR HZ 5X38G @SPL OFR,LK6313
8000380009145,LOACKER GARDENA HAZELNUT 38GX4+1FREE,LK3564
8000380207138,LOACKER GARDENA PEANUT 18X5X38G 4+1,LK4112
0791689056609,LOACKER TORTINA MINI 2X90G SPCL OFFER,LK3718
8000380141265,LOACKER TORTINA 21GX5+1 FREE,LK3517
0791689058030,LOACKER CHOCO BAR NAPO 2X54G@10%OFF,LK6319
6223006311299,ABU AUF EGP MAAMOUL MEDJOOL DATE 12X23G,AG2300
6223011435171,ABU AUF EGP PEANUT BUTTER PUFFS 12X40G,AG2403
6223011431081,ABU AUF EGP PUFFS CHEESE & SPICE 20X60G,AG2401
6223011431135,ABU AUF EGP PUFFS TOMATO & BASIL 20X60G,AG2402
6223011431128,ABU AUF EGP SOUR CREAM ONION PUF 20X60G,AG2400
6223006319202,ABU AUF EGP BAKD SEA SALT VINEGR 15X70G,AG2102
6223006319240,ABU AUF EGP BAKED PRETZEL BBQ 15X70G,AG2100
6223006319189,ABU AUF EGP BAKED PRETZEL CHEESE 15X70G,AG2101
6223006319172,ABU AUF EGP BAKED PRETZEL KETCHUP15X70G,AG2103
6223011431050,ABU AUF EGP CHEESE BISCUIT 12X80G,AG2201
6223011431074,ABU AUF EGP PIZZA BISCUIT 12X80G,AG2202
6223011431067,ABU AUF EGP SALTED BISCUIT 12X80G,AG2200
6223004765407,ABU AUF EGP DARK COFEE CARDAMOM 12X200G,AG2000
6223004765377,ABU AUF EGP DARK PLAIN COFFEE 12X200G,AG2003
6223004765384,ABU AUF EGP LIGHT COFEE CARDMOM 12X200G,AG2001
6223004765353,ABU AUF EGP LIGHT PLAIN COFFEE 12X200G,AG2004
6223004765391,ABU AUF EGP MEDIUM COFEE CARDMOM12X200G,AG2002
6223004765360,ABU AUF EGP MEDIUM PLAIN COFFEE 12X200G,AG2005
6223006310759,ABU AUF EGP SAHARA ALMOND DATES 10X300G,AG2301
6223006310773,ABU AUF EGP SAHARA CHOCO DATES 10X300G,AG2302
0794969719348,ABU AUF UAE PISTCHO KUNAFA 20X45G,AB1002
0794969721143,ABU AUF UAE PISTACHIO KUNAFA ROLL 14X150G,AB1200
0794969720573,ABU AUF UAE SPECULOOS KUNAFA ROLL 14X150G,AB1201
0694485585420,ABU AUF UAE PISTACHIO KUNAFA DARK 190G,AB1006
0794969719355,ABU AUF UAE PISTACHIO KUNAFA BAR 195G ECOM,AB1001
0794969721150,ABU AUF UAE DRAGEE ALMOND MILK CHOC 20X50G,AB1102
0794969720627,ABU AUF UAE DRAGEE HONEY COMB MARBL 20X50G,AB1103
0794969720603,ABU AUF UAE DRAGEE PECAN MILK CHOCO 20X50G,AB1100
0794969721167,ABU AUF UAE DRAGEE PECAN WHITE CHOC 20X50G,AB1101
0000023156708,ASATEER PG PREMIUM BAKLAWA 6X310G,AR2104
9050482319856,ASATEER LULU BAKLAWA SUGAR FREE 6X350G,AR2111
2055277799018,ASATEER PG BKLW NO SUGAR 6X350G,AR2105
0603765380082,ASATEER ASSRTD BAKLAWA 10X375G,AR1000
0603765380204,ASATEER ASRTD BAKLAWA 10X550G,AR1002
0637740853407,ASATEER BAKLAWA SUGARFREE 10X550G,AR1102
0000028923978,ASATEER PETIT LFD PREMIUM BKLW 6X600G,AR2101
0603765380198,ASATEER ASRTD BAKLAWA 10X750G,AR1001
0603765380358,ASATEER FING CSH BAKLW 10X770G,AR1003
9505262009033,ASATEER LULU GOURMET BAKLAWA 6X800G,AR2109
0713289457457,ASATEER BURJ KHALIFA TIN CAN 6X250G,AR2107
0713289457464,ASATEER BURJ AL ARAB TIN CAN 6X280G,AR2106
2200002574334,ASATEER LULU CERAMIC CHOC GIFT 4X1.2KG,AR2013
2200002574365,ASATEER LULU CERAMIC CHOC GIFT 3X1.5KG,AR2014
0603765380099,ASATEER ASD BILBOLNEST 10X220G,AR1004
0603765380136,ASATEER BARAZEK & GHORAYBA 10X255G,AR1100
9506101975380,ASATEER LULU CROQUANT 6X300G,AR2110
9521041980324,ASATEER LULU PISTA & CASHEW 6X350G,AR2108
0000028918202,ASATEER VARIETY OF FLAVOURS 6X350G,AR2102
0000029448975,ASATEER PG PREMIUM NOUGAT 6X400G,AR2103
9508231977333,ASATEER LULU DATES CHOCOLATE 6X500G,AR2112
0603765380211,ASATEER ASD BILBOLNEST 10X510G,AR1005
0000028901280,ASATEER PETIT GRMT PISTA CASHW 6X800G,AR2100
5022019960316,BELVOIR FARM NA LIME YUZU MOJTO 12X250ML,BF2101
5022019920310,BELVOIR FARM PEACH BELLINI 12X250ML,BF2100
5022019590711,BELVOIR FARM ELDERFLWR & ROSE 12X275ML,BF1020
5022019060719,BELVOIR FARM FRESH LEMONADE 12X275ML,BF1040
5022019090716,BELVOIR FARM GINGER BEER 12X275ML,BF1010
5022019480715,BELVOIR FARM RASPBERRY LEMONADE 12X275ML,BF1030
5022019010714,BELVOIR FARM SPRKLNG ELDRFLOWER12X275ML,BF1000
5022019361915,BELVOIR SPARKLING D&L ELDRFLWR 330ML CN,BF2002
5022019261918,BELVOIR SPARKLING D&L MNG&PCH 330ML CN,BF2000
5022019251919,BELVOIR LEMONADE D&L RASPBERY 330ML CN,BF2001
5022019510207,BELVOIR CORDIAL NAS APL&BLKCRNT 500ML,BF5001
5022019560202,BELVOIR CORDIAL BLBRY & BLKCRNT 500ML,BF4003
5022019010202,BELVOIR CORDIAL ELDERFLOWER 500ML,BF4000
