CODE,CUSTOMER,SHORT_NAME
A047-919,ADNOC 919-AL TAAWUN NR ARMADA OFFICE,ADNOC 919
A047-017,ADNOC 921-AL FALAH- NR ALFALA PLAZA,ADNOC 921
A047-009,ADNOC 924-AL MEHA F/S-MINA RD,ADNOC 924
A047-008,ADNOC 926-BANIYAS F/S-NAJDA NR KM NAJDA,ADNOC 926
A047-049,ADNOC 928-AL NASSER-ABU DHA KHALIDIYA,ADNOC 928
A047-929,ADNOC 929-AL MADINA SALAM STREET,ADNOC 929
A047-016,ADNOC 933-CORNICHE - KHALIDIYA,ADNOC 933
A047-052,ADNOC 947-REEMAH-ALAIN ADH REMAH ALAIN ROAD,ADNOC 947
A047-951,ADNOC 949 - AL DHAFRA,ADNOC 949
A047-007,ADNOC 953-SAIH SHUAIB F/S-D GANTHOOT DUBAI ROAD,ADNOC 953
A047-048,ADNOC 966-DHANA F/S-ABU DHA NR LULU XPR MUROOR,ADNOC 966
A047-953,ADNOC 969- NR BUTIN FATHIMA,ADNOC 969
A047-006,ADNOC 970-BATIN POLICE - MANA BUTIN,ADNOC 970
A047-005,ADNOC 971-AL MUSHRIF F/S-NE NR MUSHRIF COOP,ADNOC 971
A047-004,ADNOC 973-AL ZAFFARANA F/S- NR JAZIRA STADIUM,ADNOC 973
A047-003,ADNOC 975-AL SHUBAISI F/S-A AL KHATIM ALAIN ROAD,ADNOC 975
A047-002,ADNOC 993-ADINA F/S-NEAR IN NR AIRPORT OPP KHALIFACITY,ADNOC 993
A047-524,ADNOC-742-MURABEH AL DHAFRA,ADNOC-742
A047-519,ADNOC-744-GAYATHI-RUWAI,ADNOC-744
A047-510,ADNOC-745-AL NADHRA WR,ADNOC-745
A047-042,ADNOC-962-BIDA ZAYED-WESTE,ADNOC-962
A047-043,ADNOC-977-AL MIZAYRA'A-LIWA,ADNOC-977
A047-673,ADNOC-979 NEW BAINOON,ADNOC-979
